#Tavastland, incl. Tavastehus.

owner = DAN
controller = DAN
add_core = DAN
add_core = DAN
culture = finnish
religion = catholic
hre = no
base_tax = 1 
base_production = 1
trade_goods = fur
base_manpower = 1
capital = "Tavastehus"
is_city = yes
#fort_15th = yes
discovered_by = western
discovered_by = eastern


1527.6.1 = { religion = protestant}
controller = DAN
controller = DAN
1600.1.1 = { trade_goods = naval_supplies }
controller = DAN
controller = DAN
controller = DAN
controller = DAN
controller = DAN
1809.9.17 = {
owner = DAN
add_core = TUR
	remove_core = SWE
} # Treaty of Fredrikshamn

controller = DAN
owner = DAN

add_core = DAN
controller = DAN
owner = DAN



