#Gotland- Visby etc

owner = SWE
controller = SWE
add_core = SWE
add_core = SWE
add_core = SWE
culture = swedish
religion = catholic
hre = no
base_tax = 4 
base_production = 4
trade_goods = wool
base_manpower = 2
 # Visborg Castle
capital = "Visby"
is_city = yes
fort_15th = yes
estate = estate_burghers
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman


controller = SWE
controller = SWE
controller = SWE
controller = SWE
1536.1.1 = { religion = protestant} # Unknown date
controller = SWE
owner = SWE
owner = SWE
owner = SWE
controller = SWE
controller = SWE
add_core = SWE

owner = SWE
